# Step 0, Time: 0 s
Name Mass Px Py Pz Vx Vy Vz
     Dione 1.100000e+21 1.432687e+12 4.936032e+07 7.305487e-12 5.225963e+03 6.813288e+02 5.074514e-16
    Tethys 6.170000e+20 1.433075e+12 -2.524164e+07 7.301826e-12 1.168066e+04 1.238521e+04 5.071624e-16
 Enceladus 1.080000e+20 1.432832e+12 1.149778e+08 7.302409e-12 7.618690e+03 -1.995348e+03 5.072348e-16
     Mimas 3.750000e+19 1.433127e+12 1.272342e+08 7.300874e-12 1.315745e+04 1.839329e+04 5.070638e-16
   Miranda 6.590000e+19 2.877047e+12 2.789799e+08 8.677566e-13 -6.450244e+03 1.028410e+04 6.027168e-17
     Ariel 1.350000e+21 2.877181e+12 2.141491e+08 8.676903e-13 -1.147113e+03 1.240984e+04 6.026567e-17
   Umbriel 1.170000e+21 2.876930e+12 -8.148815e+07 8.679779e-13 4.549108e+03 5.525134e+03 6.028435e-17
   Titania 3.420000e+21 2.877002e+12 -2.632341e+08 8.679056e-13 3.651239e+03 6.821068e+03 6.027956e-17
    Oberon 3.000000e+21 2.877302e+12 6.693136e+08 8.675199e-13 -2.698241e+03 8.434235e+03 6.025424e-17
    Triton 2.140000e+22 4.502805e+12 -1.571729e+08 2.232654e-13 3.680588e+03 2.983254e+03 1.550603e-17
Asteroid_1 9.550021e+17 3.726137e+10 -3.088857e+10 8.596705e+08 3.342531e+04 4.032032e+04 -1.966116e+01

# Step 7, Time: 2.520000e+04 s
Name Mass Px Py Pz Vx Vy Vz
       Sun 1.989000e+30 1.314514e+02 8.494164e-02 2.254097e-07 8.114275e-03 7.871523e-06 1.391395e-11
   Mercury 3.301000e+23 5.788153e+10 1.378528e+09 4.527789e-07 -1.140383e+03 4.785812e+04 2.806113e-11
     Venus 4.867000e+24 1.081947e+11 1.008562e+09 5.330300e-08 -3.265539e+02 3.501867e+04 3.307885e-12
     Earth 5.972000e+24 1.495972e+11 8.576465e+08 1.584278e-08 -1.702865e+02 2.977878e+04 9.816810e-13
      Mars 6.417000e+23 2.278988e+11 6.949429e+08 3.511756e-09 -7.360097e+01 2.412990e+04 2.172846e-13
